Item,Transaction,kuantitas
TEKO SET JAGO,217,1
TIMBANGAN DAPUR KENMASTER,217,1
TEFLON GSF 22CM,217,1
BUSA ROYAL 120x20,219,1
MAWAR LAUNDRY REFILL,220,1
SPRINGBED VALENCIA,220,1
BONEKA BOBA LED XL,221,1
BONEKA BOBA LED XL,222,1
SIRUP ABC DUS,223,2
BOTOL KACA KAKTUS,223,1
RACUN TIKUS,223,2
TABLET LCD,224,1
RACUN TIKUS,224,1
KANEBO BIRU,224,1
SAMBUNGAN KRAN,224,1
DIPAN SULTAN,225,1
BUSA MEDICARE 120,226,1
SPREI LADY ROSE 120X20,226,2
KARPET SPONS MURAH,227,1
PISAU SULTAN,228,1
RAK KAMAR MANDI KOTAK,228,1
KURSI JATI FINISHING MELING,229,1
KIPAS WELHOME BERDIRI 1681,229,1
KOMPOR PORTABLE MYVO,230,1
SIRUP ABC DUS,231,1
CUTER TRANSPARAN,231,1
TATAKAN KOMPOR KAKI 6,232,1
PANGGANGAN PORTABEL,232,1
LOYANG ROTI 3PCS,232,1
SPREI LADY ROSE 120X20,233,2
BOTOL KACA KAKTUS,233,2
PISAU SULTAN,234,2
SPREI LADY ROSE 180x20,235,1
KOMPOR MIYAKO KG-11C,237,1
GELAS JUS PORTO,238,1
MANTEL PONCO AURORA,238,1
NAMPAN 4 SEDENG,239,1
TREMOS SOLARIS LION STAR,239,1
CANGKIR SET BROWN,239,1
CANGKIR LEPEK ROSE,239,1
SPREI MY LOVE 180 30CM,239,1
SIRUP ABC DUS,240,1
TABLET LCD,240,2
SARUNG SAMARINDA,241,1
TABLET LCD,242,10
SIRUP ABC DUS,242,2
CUTER TRANSPARAN,243,2
SIRUP ABC DUS,243,1
JAM DINDING ANGKA,243,2
LEMARI PIRING ALUMINIUM 6P WARNA,244,1
MASKER DUCKBIL ANAK,244,1
BONEKA BOBA LED XL,244,2
JAM DINDING ANGKA,245,2
SIRUP ABC DUS,245,1
SPREI BONITA 160X20,245,1
BOTOL KACA KAKTUS,245,1
HANDUK MICRO FIBER,246,1
CUTER TRANSPARAN,247,1
SPRITE/COCA COLA/fFANTA 1 KRAT,248,8
DIPAN SULTAN,248,4
NAMPAN 4 SEDENG,249,2
SPRITE/COCA COLA/fFANTA 1 KRAT,249,2
JAM DINDING ANGKA,250,1
CUTER TRANSPARAN,250,1
TOPRON,250,2
MEJA BELAJAR IMPOR KARAKTER,251,1
CUTER TRANSPARAN,252,1
KESED 5D DIATOMITE,252,1
POMPA GALON ELEKTRIK GSF,253,1
TIRAI MAGNET ANTI NYAMUK,254,1
BOX 156 SL,254,1
DOUBLE PAN HAPPY CALL,254,1
BATU BATRAI DYNAMAX,255,1
RACUN TIKUS,256,4
KERANJANG PAJERO WARNA,257,1
TAPLAK MEJA EMAS,258,1
RACUN TIKUS,258,1
SIRUP ABC DUS,259,1
TABLET LCD,259,1
MEJA BELAJAR JUMBO+ KURSI APANEL,260,1
SIRUP ABC DUS,261,1
PISAU SULTAN,262,1
JAM DINDING ANGKA,263,1
PIRING ROTAN PLASTIK,264,1
TALENAN KAYU KCL,264,1
JEMURAN ALUMINIUM STANDART WARNA,264,1
PAYUNG 16 JARI,264,1
CETAKAN PUKIS SUGGO,265,1
PISAU SULTAN,265,1
TREMOS INDOGLASS 1000ML,265,1
PAYUNG PELANGI JUMBO,265,1
RACUN TIKUS,265,1
PANCI EAGLE 20 SARANGAN,266,1
BONEKA BOBA LED XL,267,2
SPRITE/COCA COLA/fFANTA 1 KRAT,267,2
BOTOL KACA KAKTUS,267,1
RACUN TIKUS,268,2
JAM DINDING ANGKA,269,2
TABLET LCD,270,5
TABLET LCD,271,1
CUTER TRANSPARAN,271,1
STAN HANGER TOPI,271,1
TUDUNG SAJI SAGA,272,1
RACUN TIKUS,273,4
JEMURAN LIPAT NAGATO,274,1
MAWAR LAUNDRY REFILL,275,1
SEMPOA 010122,276,1
KERANJANG PAJERO WARNA,277,3
MASKER DUCKBIL ANAK,278,1
TABLET LCD,278,1
PANCI KUAH ENAMEL 22 GSF,279,1
TREMOS ELEPHANT,279,1
MAWAR LAUNDRY REFILL,279,1
TABLET LCD,279,1
GELAS PLASTIK AYAM JAGO JUMBO,280,1
MASKER DUCKBIL ANAK,281,1
SPREI HOME UK 160 & 180,281,1
BOTOL KACA KAKTUS,282,1
BUSA ROYAL 160x20,283,1
BANTAL GULING CANON,283,3
